MIN=0	-20	-10	
MAX=3200	120	10	
SCALE=3200	50	5	
DEC=0	1	2	
DEF=t / s	"Temperature" ϑ / °C	"Voltage" U_A / mV	
0	21.7361	-0.0306	
1.066	21.7578	-0.03	
1.993	21.7314	-0.03	
2.995	21.746	-0.03	
3.995	21.7804	-0.03	
4.994	21.7538	-0.0306	
5.993	21.756	-0.0306	
6.994	21.7587	-0.0306	
7.994	21.7684	-0.0306	
8.995	21.769	-0.0313	
9.995	21.7607	-0.0313	
10.994	21.761	-0.0313	
11.995	21.7834	-0.0313	
12.994	21.7653	-0.0313	
13.995	21.7661	-0.0313	
14.995	21.7693	-0.0313	
15.994	21.7707	-0.0313	
16.995	21.7984	-0.0306	
17.993	21.7913	-0.0306	
18.993	21.768	-0.0306	
19.993	21.779	-0.0306	
21.053	21.7879	-0.0306	
21.995	21.7915	-0.03	
22.994	21.8139	-0.03	
23.995	21.7921	-0.03	
24.993	21.7958	-0.03	
25.994	21.8006	-0.0294	
26.994	21.8018	-0.0294	
27.993	21.8122	-0.0294	
28.995	21.8062	-0.0288	
29.995	21.8198	-0.0294	
30.993	21.8018	-0.0294	
31.994	21.8002	-0.0288	
32.994	21.8144	-0.0288	
33.993	21.8024	-0.0288	
34.995	21.8391	-0.0288	
35.995	21.8224	-0.0288	
36.993	21.8346	-0.0294	
37.995	21.8309	-0.0288	
38.995	21.8318	-0.0294	
39.995	21.8228	-0.0288	
40.995	21.8297	-0.0281	
41.995	21.8261	-0.0262	
42.995	21.8204	-0.0269	
43.995	21.8352	-0.0275	
44.995	21.8183	-0.0288	
45.995	21.8169	-0.0288	
46.993	21.867	-0.0288	
47.993	21.8506	-0.0288	
48.995	21.826	-0.0288	
49.995	21.8364	-0.0294	
50.995	21.8561	-0.0294	
51.995	21.834	-0.0294	
52.995	21.8696	-0.0294	
53.995	21.8617	-0.0294	
54.995	21.8643	-0.0294	
55.995	21.8452	-0.0294	
56.995	21.8427	-0.0294	
57.995	21.8548	-0.0294	
58.995	21.8866	-0.0294	
59.995	21.9063	-0.0288	
60.995	21.8728	-0.0281	
61.995	21.8733	-0.0275	
62.995	21.8956	-0.0269	
63.995	21.8968	-0.0269	
64.995	21.9054	-0.0275	
65.995	21.9321	-0.0269	
66.995	21.9221	-0.0269	
67.995	21.914	-0.0262	
68.995	21.9265	-0.0262	
69.995	21.9344	-0.0256	
70.995	21.9461	-0.025	
71.995	21.9879	-0.0244	
72.995	21.9826	-0.0244	
73.995	21.9899	-0.0237	
74.995	21.9675	-0.0231	
75.995	22.0052	-0.0225	
76.995	22.0046	-0.0225	
77.995	22.0309	-0.0225	
78.995	22.0373	-0.0225	
79.995	22.0548	-0.0225	
80.995	22.0583	-0.0225	
81.995	22.0703	-0.0219	
82.995	22.1047	-0.0219	
83.995	22.127	-0.0219	
84.995	22.1535	-0.0219	
85.995	22.1569	-0.0219	
86.995	22.1583	-0.0219	
87.995	22.1816	-0.0219	
88.995	22.2341	-0.0213	
89.995	22.2093	-0.0213	
90.995	22.2636	-0.0213	
91.995	22.291	-0.0213	
92.995	22.3054	-0.0213	
93.995	22.3361	-0.0206	
94.995	22.3913	-0.02	
95.995	22.3766	-0.02	
96.995	22.4157	-0.02	
97.995	22.4616	-0.02	
98.995	22.4711	-0.02	
99.995	22.5106	-0.02	
100.995	22.5606	-0.0194	
101.995	22.5737	-0.0194	
102.995	22.6154	-0.0188	
103.995	22.6386	-0.0188	
104.995	22.6893	-0.0188	
105.995	22.7236	-0.0181	
106.995	22.7738	-0.0181	
107.995	22.815	-0.0181	
108.995	22.8383	-0.0175	
109.995	22.8955	-0.0175	
110.995	22.9326	-0.0175	
111.995	22.9874	-0.0175	
112.995	23.0179	-0.0175	
113.995	23.0856	-0.0169	
114.995	23.0942	-0.0169	
115.995	23.1685	-0.0169	
116.995	23.1976	-0.0169	
117.995	23.2618	-0.0169	
118.995	23.3167	-0.0169	
119.995	23.357	-0.0169	
120.995	23.4038	-0.0169	
121.995	23.4608	-0.0169	
122.995	23.5066	-0.0175	
123.995	23.5604	-0.0175	
124.995	23.6306	-0.0175	
125.995	23.6976	-0.0175	
126.995	23.7338	-0.0175	
127.995	23.7973	-0.0175	
128.995	23.8456	-0.0175	
129.995	23.91	-0.0175	
130.995	23.9715	-0.0175	
131.995	24.0359	-0.0175	
132.995	24.1177	-0.0169	
133.995	24.1826	-0.0169	
134.995	24.2243	-0.0169	
135.995	24.3053	-0.0162	
136.995	24.3712	-0.0162	
137.995	24.4484	-0.0156	
138.995	24.5303	-0.015	
139.995	24.6295	-0.015	
140.995	24.672	-0.0144	
141.995	24.7478	-0.0144	
142.993	24.8165	-0.0144	
143.993	24.9216	-0.0137	
144.993	25.0033	-0.0137	
145.993	25.0744	-0.0131	
146.993	25.1591	-0.0131	
147.993	25.2366	-0.0125	
148.993	25.3477	-0.0125	
149.993	25.4069	-0.0119	
150.993	25.5229	-0.0112	
151.993	25.5724	-0.0112	
152.993	25.6638	-0.01	
153.993	25.7662	-0.0094	
154.993	25.8386	-0.0088	
155.993	25.9503	-0.0081	
156.993	26.0607	-0.0075	
157.993	26.1441	-0.0063	
158.993	26.248	-0.005	
159.993	26.3323	-0.0031	
160.993	26.4207	-0.0025	
161.993	26.5592	-0.0013	
162.993	26.645	-0.0006	
163.993	26.7924	-0.0006	
164.993	26.8629	0	
165.993	26.9648	0.0006	
166.993	27.0831	0.0006	
167.993	27.1713	0.0013	
168.993	27.2819	0.0013	
169.993	27.4153	0.0019	
170.993	27.5182	0.0019	
